['agama', 'anjuran', 4]
['agama', 'larangan', 2]
['agama', 'informasi', 4]
['agamanya', 'anjuran', 1]
['agamanya', 'larangan', 1]
['agamanya', 'informasi', 2]
['ahli', 'anjuran', 2]
['ahli', 'larangan', 1]
['ahli', 'informasi', 2]
['ahlul', 'anjuran', 1]
['ahlul', 'larangan', 0]
['ahlul', 'informasi', 1]
['ajak', 'anjuran', 1]
['ajak', 'larangan', 0]
['ajak', 'informasi', 1]
['ajaklah', 'anjuran', 1]
['ajaklah', 'larangan', 0]
['ajaklah', 'informasi', 1]
['ajari', 'anjuran', 1]
['ajari', 'larangan', 0]
['ajari', 'informasi', 1]
['ajarilah', 'anjuran', 2]
['ajarilah', 'larangan', 0]
['ajarilah', 'informasi', 2]
['ajarkkanlah', 'anjuran', 1]
['ajarkkanlah', 'larangan', 0]
['ajarkkanlah', 'informasi', 1]
['akalnya', 'anjuran', 1]
['akalnya', 'larangan', 0]
['akalnya', 'informasi', 1]
['akhirat', 'anjuran', 1]
['akhirat', 'larangan', 0]
['akhirat', 'informasi', 1]
['akibat', 'anjuran', 1]
['akibat', 'larangan', 0]
['akibat', 'informasi', 1]
['akuilah', 'anjuran', 1]
['akuilah', 'larangan', 1]
['akuilah', 'informasi', 1]
['alihkan', 'anjuran', 1]
['alihkan', 'larangan', 1]
['alihkan', 'informasi', 1]
['allaa', 'anjuran', 0]
['allaa', 'larangan', 1]
['allaa', 'informasi', 1]
['amal', 'anjuran', 3]
['amal', 'larangan', 0]
['amal', 'informasi', 3]
['amalkan', 'anjuran', 1]
['amalkan', 'larangan', 0]
['amalkan', 'informasi', 1]
['ambillah', 'anjuran', 2]
['ambillah', 'larangan', 0]
['ambillah', 'informasi', 2]
['amin', 'anjuran', 1]
['amin', 'larangan', 0]
['amin', 'informasi', 1]
['ampunan', 'anjuran', 1]
['ampunan', 'larangan', 0]
['ampunan', 'informasi', 1]
['anak-anak', 'anjuran', 1]
['anak-anak', 'larangan', 1]
['anak-anak', 'informasi', 0]
['anggota', 'anjuran', 1]
['anggota', 'larangan', 5]
['anggota', 'informasi', 5]
['anggur', 'anjuran', 2]
['anggur', 'larangan', 0]
['anggur', 'informasi', 2]
['angkat', 'anjuran', 2]
['angkat', 'larangan', 0]
['angkat', 'informasi', 2]
['angkatlah', 'anjuran', 4]
['angkatlah', 'larangan', 0]
['angkatlah', 'informasi', 4]
['anting', 'anjuran', 2]
['anting', 'larangan', 0]
['anting', 'informasi', 2]
['arab', 'anjuran', 1]
['arab', 'larangan', 1]
['arab', 'informasi', 1]
['arafah', 'anjuran', 3]
['arafah', 'larangan', 1]
['arafah', 'informasi', 3]
['ashar', 'anjuran', 1]
['ashar', 'larangan', 4]
['ashar', 'informasi', 5]
['ashshalaatul', 'anjuran', 2]
['ashshalaatul', 'larangan', 0]
['ashshalaatul', 'informasi', 2]
['atap', 'anjuran', 1]
['atap', 'larangan', 0]
['atap', 'informasi', 1]
['aurat', 'anjuran', 1]
['aurat', 'larangan', 0]
['aurat', 'informasi', 1]
['awam', 'anjuran', 1]
['awam', 'larangan', 0]
['awam', 'informasi', 1]
['ayahku', 'anjuran', 1]
['ayahku', 'larangan', 0]
['ayahku', 'informasi', 1]
['ayahmu', 'anjuran', 1]
['ayahmu', 'larangan', 0]
['ayahmu', 'informasi', 1]
['ayat', 'anjuran', 2]
['ayat', 'larangan', 1]
['ayat', 'informasi', 2]
['ayat-ayat', 'anjuran', 0]
['ayat-ayat', 'larangan', 1]
['ayat-ayat', 'informasi', 1]
['baca', 'anjuran', 1]
['baca', 'larangan', 0]
['baca', 'informasi', 1]
['bacaan', 'anjuran', 2]
['bacaan', 'larangan', 2]
['bacaan', 'informasi', 3]
['bacaannya', 'anjuran', 0]
['bacaannya', 'larangan', 1]
['bacaannya', 'informasi', 1]
['bacalah', 'anjuran', 4]
['bacalah', 'larangan', 1]
['bacalah', 'informasi', 5]
['badannya', 'anjuran', 0]
['badannya', 'larangan', 1]
['badannya', 'informasi', 1]
['badui', 'anjuran', 0]
['badui', 'larangan', 1]
['badui', 'informasi', 1]
['bagi-mu', 'anjuran', 1]
['bagi-mu', 'larangan', 0]
['bagi-mu', 'informasi', 1]
['baginya', 'anjuran', 3]
['baginya', 'larangan', 1]
['baginya', 'informasi', 2]
['bahu', 'anjuran', 1]
['bahu', 'larangan', 0]
['bahu', 'informasi', 1]
['bahunya', 'anjuran', 1]
['bahunya', 'larangan', 0]
['bahunya', 'informasi', 1]
['baiklah', 'anjuran', 1]
['baiklah', 'larangan', 1]
['baiklah', 'informasi', 2]
['baju', 'anjuran', 2]
['baju', 'larangan', 1]
['baju', 'informasi', 3]
['bajunya', 'anjuran', 1]
['bajunya', 'larangan', 0]
['bajunya', 'informasi', 1]
['balasan', 'anjuran', 1]
['balasan', 'larangan', 1]
['balasan', 'informasi', 1]
['banci', 'anjuran', 1]
['banci', 'larangan', 0]
['banci', 'informasi', 1]
['bangkai', 'anjuran', 2]
['bangkai', 'larangan', 0]
['bangkai', 'informasi', 0]
['bangkitlah', 'anjuran', 3]
['bangkitlah', 'larangan', 0]
['bangkitlah', 'informasi', 3]
['bangsa', 'anjuran', 1]
['bangsa', 'larangan', 1]
['bangsa', 'informasi', 1]
['bangun', 'anjuran', 2]
['bangun', 'larangan', 0]
['bangun', 'informasi', 1]
['bangunlah', 'anjuran', 1]
['bangunlah', 'larangan', 0]
['bangunlah', 'informasi', 1]
['bantulah', 'anjuran', 1]
['bantulah', 'larangan', 1]
['bantulah', 'informasi', 0]
['banyaklah', 'anjuran', 3]
['banyaklah', 'larangan', 0]
['banyaklah', 'informasi', 3]
['bapakku', 'anjuran', 4]
['bapakku', 'larangan', 1]
['bapakku', 'informasi', 4]
['bapaknya', 'anjuran', 1]
['bapaknya', 'larangan', 0]
['bapaknya', 'informasi', 1]
['barakah', 'anjuran', 1]
['barakah', 'larangan', 0]
['barakah', 'informasi', 1]
['barangsiapa', 'anjuran', 21]
['barangsiapa', 'larangan', 8]
['barangsiapa', 'informasi', 26]
['barisan', 'anjuran', 2]
['barisan', 'larangan', 0]
['barisan', 'informasi', 2]
['barusan', 'anjuran', 1]
['barusan', 'larangan', 0]
['barusan', 'informasi', 1]
['basah', 'anjuran', 1]
['basah', 'larangan', 0]
['basah', 'informasi', 1]
['batas', 'anjuran', 1]
['batas', 'larangan', 1]
['batas', 'informasi', 0]
['batasan', 'anjuran', 0]
['batasan', 'larangan', 1]
['batasan', 'informasi', 1]
['batu', 'anjuran', 2]
['batu', 'larangan', 0]
['batu', 'informasi', 2]
['bau', 'anjuran', 1]
['bau', 'larangan', 0]
['bau', 'informasi', 1]
['baunya', 'anjuran', 0]
['baunya', 'larangan', 1]
['baunya', 'informasi', 0]
['bawang', 'anjuran', 1]
['bawang', 'larangan', 2]
['bawang', 'informasi', 3]
['bayang-bayang', 'anjuran', 1]
['bayang-bayang', 'larangan', 0]
['bayang-bayang', 'informasi', 1]
['bayarlah', 'anjuran', 2]
['bayarlah', 'larangan', 0]
['bayarlah', 'informasi', 2]
['bebaskanlah', 'anjuran', 1]
['bebaskanlah', 'larangan', 0]
['bebaskanlah', 'informasi', 1]
['begitulah', 'anjuran', 1]
['begitulah', 'larangan', 0]
['begitulah', 'informasi', 1]
['bejana', 'anjuran', 2]
['bejana', 'larangan', 0]
['bejana', 'informasi', 2]
['bekas', 'anjuran', 1]
['bekas', 'larangan', 0]
['bekas', 'informasi', 1]
['belakangnya', 'anjuran', 2]
['belakangnya', 'larangan', 0]
['belakangnya', 'informasi', 2]
['benar-benar', 'anjuran', 3]
['benar-benar', 'larangan', 0]
