['agama', [0, 0, 1], 0]
['agama', [0, 1, 0], 0]
['agama', [0, 1, 1], 0]
['agama', [1, 0, 0], 0]
['agama', [1, 0, 1], 2]
['agama', [1, 1, 0], 0]
['agama', [1, 1, 1], 2]
['agamanya', [0, 0, 1], 0]
['agamanya', [0, 1, 0], 0]
['agamanya', [0, 1, 1], 1]
['agamanya', [1, 0, 0], 0]
['agamanya', [1, 0, 1], 1]
['agamanya', [1, 1, 0], 0]
['agamanya', [1, 1, 1], 0]
['ahli', [0, 0, 1], 0]
['ahli', [0, 1, 0], 0]
['ahli', [0, 1, 1], 0]
['ahli', [1, 0, 0], 0]
['ahli', [1, 0, 1], 1]
['ahli', [1, 1, 0], 0]
['ahli', [1, 1, 1], 1]
['ahlul', [0, 0, 1], 0]
['ahlul', [0, 1, 0], 0]
['ahlul', [0, 1, 1], 0]
['ahlul', [1, 0, 0], 0]
['ahlul', [1, 0, 1], 1]
['ahlul', [1, 1, 0], 0]
['ahlul', [1, 1, 1], 0]
['ajak', [0, 0, 1], 0]
['ajak', [0, 1, 0], 0]
['ajak', [0, 1, 1], 0]
['ajak', [1, 0, 0], 0]
['ajak', [1, 0, 1], 1]
['ajak', [1, 1, 0], 0]
['ajak', [1, 1, 1], 0]
['ajaklah', [0, 0, 1], 0]
['ajaklah', [0, 1, 0], 0]
['ajaklah', [0, 1, 1], 0]
['ajaklah', [1, 0, 0], 0]
['ajaklah', [1, 0, 1], 1]
['ajaklah', [1, 1, 0], 0]
['ajaklah', [1, 1, 1], 0]
['ajari', [0, 0, 1], 0]
['ajari', [0, 1, 0], 0]
['ajari', [0, 1, 1], 0]
['ajari', [1, 0, 0], 0]
['ajari', [1, 0, 1], 1]
['ajari', [1, 1, 0], 0]
['ajari', [1, 1, 1], 0]
['ajarilah', [0, 0, 1], 0]
['ajarilah', [0, 1, 0], 0]
['ajarilah', [0, 1, 1], 0]
['ajarilah', [1, 0, 0], 0]
['ajarilah', [1, 0, 1], 2]
['ajarilah', [1, 1, 0], 0]
['ajarilah', [1, 1, 1], 0]
['ajarkkanlah', [0, 0, 1], 0]
['ajarkkanlah', [0, 1, 0], 0]
['ajarkkanlah', [0, 1, 1], 0]
['ajarkkanlah', [1, 0, 0], 0]
['ajarkkanlah', [1, 0, 1], 1]
['ajarkkanlah', [1, 1, 0], 0]
['ajarkkanlah', [1, 1, 1], 0]
['akalnya', [0, 0, 1], 0]
['akalnya', [0, 1, 0], 0]
['akalnya', [0, 1, 1], 0]
['akalnya', [1, 0, 0], 0]
['akalnya', [1, 0, 1], 1]
['akalnya', [1, 1, 0], 0]
['akalnya', [1, 1, 1], 0]
['akhirat', [0, 0, 1], 0]
['akhirat', [0, 1, 0], 0]
['akhirat', [0, 1, 1], 0]
['akhirat', [1, 0, 0], 0]
['akhirat', [1, 0, 1], 1]
['akhirat', [1, 1, 0], 0]
['akhirat', [1, 1, 1], 0]
['akibat', [0, 0, 1], 0]
['akibat', [0, 1, 0], 0]
['akibat', [0, 1, 1], 0]
['akibat', [1, 0, 0], 0]
['akibat', [1, 0, 1], 1]
['akibat', [1, 1, 0], 0]
['akibat', [1, 1, 1], 0]
['akuilah', [0, 0, 1], 0]
['akuilah', [0, 1, 0], 0]
['akuilah', [0, 1, 1], 0]
['akuilah', [1, 0, 0], 0]
['akuilah', [1, 0, 1], 0]
['akuilah', [1, 1, 0], 0]
['akuilah', [1, 1, 1], 1]
['alihkan', [0, 0, 1], 0]
['alihkan', [0, 1, 0], 0]
['alihkan', [0, 1, 1], 0]
['alihkan', [1, 0, 0], 0]
['alihkan', [1, 0, 1], 0]
['alihkan', [1, 1, 0], 0]
['alihkan', [1, 1, 1], 1]
['allaa', [0, 0, 1], 0]
['allaa', [0, 1, 0], 0]
['allaa', [0, 1, 1], 1]
['allaa', [1, 0, 0], 0]
['allaa', [1, 0, 1], 0]
['allaa', [1, 1, 0], 0]
['allaa', [1, 1, 1], 0]
['amal', [0, 0, 1], 0]
['amal', [0, 1, 0], 0]
['amal', [0, 1, 1], 0]
['amal', [1, 0, 0], 0]
['amal', [1, 0, 1], 3]
['amal', [1, 1, 0], 0]
['amal', [1, 1, 1], 0]
['amalkan', [0, 0, 1], 0]
['amalkan', [0, 1, 0], 0]
['amalkan', [0, 1, 1], 0]
['amalkan', [1, 0, 0], 0]
['amalkan', [1, 0, 1], 1]
['amalkan', [1, 1, 0], 0]
['amalkan', [1, 1, 1], 0]
['ambillah', [0, 0, 1], 0]
['ambillah', [0, 1, 0], 0]
['ambillah', [0, 1, 1], 0]
['ambillah', [1, 0, 0], 0]
['ambillah', [1, 0, 1], 2]
['ambillah', [1, 1, 0], 0]
['ambillah', [1, 1, 1], 0]
['amin', [0, 0, 1], 0]
['amin', [0, 1, 0], 0]
['amin', [0, 1, 1], 0]
['amin', [1, 0, 0], 0]
['amin', [1, 0, 1], 1]
