['agama', 0.7114232678629617]
['agamanya', 0.8194895611110975]
['ahli', 0.7989112377352916]
['ahlul', 0.8591470690256049]
['ajak', 0.8591470690256049]
['ajaklah', 0.8591470690256049]
['ajari', 0.8591470690256049]
['ajarilah', 0.8171459841351807]
['ajarkkanlah', 0.8591470690256049]
['akalnya', 0.8591470690256049]
['akhirat', 0.8591470690256049]
['akibat', 0.8591470690256049]
['akuilah', 0.8409123226257158]
['alihkan', 0.8409123226257158]
['allaa', 0.864727163859752]
['amal', 0.77934990913839]
['amalkan', 0.8591470690256049]
['ambillah', 0.8171459841351807]
['amin', 0.8591470690256049]
['ampunan', 0.8591470690256049]
['anak-anak', 0.8655737755088784]
['anggota', 0.7164106505240592]
['anggur', 0.8171459841351807]
['angkat', 0.8171459841351807]
['angkatlah', 0.7446806509331539]
['anting', 0.8171459841351807]
['arab', 0.8409123226257158]
['arafah', 0.7611151627385009]
['ashar', 0.7265601648946854]
['ashshalaatul', 0.8171459841351807]
['atap', 0.8591470690256049]
['aurat', 0.8591470690256049]
['awam', 0.8591470690256049]
['ayahku', 0.8591470690256049]
['ayahmu', 0.8591470690256049]
['ayat', 0.7989112377352916]
['ayat-ayat', 0.864727163859752]
['baca', 0.8591470690256049]
['bacaan', 0.7645690502375]
['bacaannya', 0.864727163859752]
['bacalah', 0.7099365925762549]
['badannya', 0.864727163859752]
['badui', 0.864727163859752]
['bagi-mu', 0.8591470690256049]
['baginya', 0.7804347135659895]
['bahu', 0.8591470690256049]
['bahunya', 0.8591470690256049]
['baiklah', 0.8194895611110975]
['baju', 0.7795916869078032]
['bajunya', 0.8591470690256049]
['balasan', 0.8409123226257158]
['banci', 0.8591470690256049]
['bangkai', 0.8632301985329616]
['bangkitlah', 0.77934990913839]
['bangsa', 0.8409123226257158]
['bangun', 0.8385687456497991]
['bangunlah', 0.8591470690256049]
['bantulah', 0.8655737755088784]
['banyaklah', 0.77934990913839]
['bapakku', 0.7264459045332649]
['bapaknya', 0.8591470690256049]
