['adonan', 0.8921985363051652]
['adzanlah', 0.9066932780522607]
['agama', 0.8422656225246951]
['agamanya', 0.902433793445067]
['ahlinya', 0.9070194029944069]
['ahlul', 0.8984405255692033]
['ajaklah', 0.9066932780522607]
['ajarkanlah', 0.9070194029944069]
['akhirat', 0.9040730640878492]
['akhirkan', 0.9066932780522607]
['akibat', 0.9040730640878492]
['alasanmu', 0.9040730640878492]
['alihkan', 0.9040730640878492]
['aliran', 0.8757752399200767]
['allah-lah', 0.9040730640878492]
['amalan', 0.8961389490622927]
['amalnya', 0.8978547852418061]
['amanah', 0.8935187350978812]
['amanat', 0.9070194029944069]
['ambillah', 0.8935187350978812]
['ampunilah', 0.8926295382235396]
['ampunkanlah', 0.9040730640878492]
['anak-anak', 0.8954941866626456]
['anaknya', 0.8865659977865193]
['anggota', 0.9056992042016909]
['anjingku', 0.9056992042016909]
['anjingmu', 0.9056992042016909]
['anting', 0.9070194029944069]
['antusias', 0.9056992042016909]
['arab', 0.9040730640878492]
['arafah', 0.9089948545591713]
['ashar', 0.7670674305808929]
['atap', 0.9056992042016909]
['atapnya', 0.9040730640878492]
['atasnya', 0.9040730640878492]
['aurat', 0.9040730640878492]
['ayahku', 0.9066932780522607]
['ayahmu', 0.9066932780522607]
['ayat', 0.7828156986756607]
['ayat-ayat', 0.9040730640878492]
['badan', 0.9040730640878492]
['badannya', 0.9040730640878492]
['badui', 0.9066932780522607]
['bagiku', 0.9040730640878492]
['baginya', 0.8527385537137392]
['bagus', 0.9070194029944069]
['baiklah', 0.9089948545591713]
['baitullah', 0.9089948545591713]
['baju', 0.8739430458359181]
['bajunya', 0.8935187350978812]
['balasan', 0.9070194029944069]
['baligh', 0.9070194029944069]
['bangkai', 0.8958735568366359]
['bangkitlah', 0.9066932780522607]
['bangun', 0.8518799325186455]
['bangunan', 0.9040730640878492]
['bangunlah', 0.9040730640878492]
['bapakku', 0.8622487267112305]
['bapakmu', 0.8985043763225544]
['bapaknya', 0.8411028013708137]
['barangkali', 0.8948187502695768]
['barangsiapa', 0.7221870687376453]
['barisan', 0.8926295382235396]
['barusan', 0.9066932780522607]
['barzah', 0.9066932780522607]
['basah', 0.870763753383083]
['basahnya', 0.9056992042016909]
['basmalah', 0.9056992042016909]
['batal', 0.9056992042016909]
['batang', 0.9040730640878492]
['batasan', 0.9089948545591713]
['batu', 0.8169523492883797]
['bau', 0.9056992042016909]
['baunya', 0.9056992042016909]
['bawahnya', 0.9040730640878492]
['bawalah', 0.8935187350978812]
['bayang-bayang', 0.8903423448287763]
['bayangan', 0.9066932780522607]
['bayangannya', 0.9066932780522607]
['bayaran', 0.9070194029944069]
['bayarlah', 0.8926295382235396]
['bayi', 0.9040730640878492]
['bebaskanlah', 0.9040730640878492]
['begitulah', 0.8501541689123444]
['bejana', 0.8343284257423694]
['bekas', 0.8709293630758006]
['bekasnya', 0.9056992042016909]
['belakangku', 0.9040730640878492]
['belakangnya', 0.8532105387161425]
['belas', 0.8954941866626456]
['beliaupun', 0.9040730640878492]
['benar-benar', 0.9070194029944069]
['benda', 0.9066932780522607]
['benih', 0.9089948545591713]
['beralaskan', 0.9066932780522607]
['beramal', 0.8876239223904402]
['beranggapan', 0.8985043763225544]
['berangkat', 0.8954941866626456]
['berangkatlah', 0.9070194029944069]
['beranjak', 0.9056992042016909]
['berasal', 0.8838159479703712]
['berat', 0.8671705171825527]
['berbaiatlah', 0.9089948545591713]
['berbangkit', 0.9089948545591713]
['berbaring', 0.8408270534904263]
['berbatu', 0.9040730640878492]
['berbeda', 0.9040730640878492]
['berbentuk', 0.9070194029944069]
['berbicara', 0.8768042011748154]
['berbicaralah', 0.9070194029944069]
['berbincang-bincang', 0.8903423448287763]
['berbuat', 0.8734076825702795]
['berbulu', 0.9056992042016909]
['berdasarkan', 0.9040730640878492]
['berdatanganlah', 0.9040730640878492]
['berdebat', 0.9089948545591713]
['berdesakan', 0.8978547852418061]
['berdiri', 0.7192228966980447]
['berdirilah', 0.893192610155735]
['berdusta', 0.8913136754174011]
['berebut', 0.9040730640878492]
['berfatwa', 0.9070194029944069]
['berfirman', 0.887300456251838]
['bergabung', 0.9040730640878492]
['bergemberilah', 0.9066932780522607]
['bergembira', 0.9070194029944069]
['berhadapan', 0.8625272286381653]
['berhadats', 0.8624342615086136]
['berhaji', 0.9040730640878492]
