['agama', 0.8343351485804105]
['agamanya', 0.8594862874229509]
['ahli', 0.8619370126214012]
['ahlul', 0.8736055136829092]
['ajak', 0.8736055136829092]
['ajaklah', 0.8736055136829092]
['ajari', 0.8736055136829092]
['ajarilah', 0.8545345333145079]
['ajarkkanlah', 0.8736055136829092]
['akalnya', 0.8736055136829092]
['akhirat', 0.8736055136829092]
['akibat', 0.8736055136829092]
['akuilah', 0.8842398331231328]
['alihkan', 0.8842398331231328]
['allaa', 0.8817891079246825]
['amal', 0.8375623144315429]
['amalkan', 0.8736055136829092]
['ambillah', 0.8545345333145079]
['amin', 0.8736055136829092]
['ampunan', 0.8736055136829092]
['anak-anak', 0.893807175776878]
['anggota', 0.8439995171672132]
['anggur', 0.8545345333145079]
['angkat', 0.8545345333145079]
['angkatlah', 0.8221507203319027]
['anting', 0.8545345333145079]
['arab', 0.8842398331231328]
['arafah', 0.8428660322529999]
['ashar', 0.8323079209830121]
['ashshalaatul', 0.8545345333145079]
['atap', 0.8736055136829092]
['aurat', 0.8736055136829092]
['awam', 0.8736055136829092]
['ayahku', 0.8736055136829092]
['ayahmu', 0.8736055136829092]
['ayat', 0.8619370126214012]
['ayat-ayat', 0.8817891079246825]
['baca', 0.8736055136829092]
['bacaan', 0.8478177863614429]
['bacaannya', 0.8817891079246825]
['bacalah', 0.8080314940719444]
['badannya', 0.8817891079246825]
['badui', 0.8817891079246825]
['bagi-mu', 0.8736055136829092]
['baginya', 0.8524333749067451]
['bahu', 0.8736055136829092]
['bahunya', 0.8736055136829092]
['baiklah', 0.8594862874229509]
['baju', 0.8404153070545496]
['bajunya', 0.8736055136829092]
['balasan', 0.8842398331231328]
['banci', 0.8736055136829092]
['bangkai', 0.8898356809251727]
['bangkitlah', 0.8375623144315429]
['bangsa', 0.8842398331231328]
['bangun', 0.8691230424130152]
['bangunlah', 0.8736055136829092]
['bantulah', 0.893807175776878]
['banyaklah', 0.8375623144315429]
['bapakku', 0.825893813370035]
['bapaknya', 0.8736055136829092]
['barakah', 0.8736055136829092]
['barangsiapa', 0.6132220431386758]
['barisan', 0.8545345333145079]
['barusan', 0.8736055136829092]
['basah', 0.8736055136829092]
['batas', 0.893807175776878]
['batasan', 0.8817891079246825]
['batu', 0.8545345333145079]
['bau', 0.8736055136829092]
['baunya', 0.893807175776878]
['bawang', 0.848541525007246]
['bayang-bayang', 0.8736055136829092]
['bayarlah', 0.8545345333145079]
['bebaskanlah', 0.8736055136829092]
['begitulah', 0.8736055136829092]
['bejana', 0.8545345333145079]
['bekas', 0.8736055136829092]
['belakangnya', 0.8545345333145079]
['benar-benar', 0.8375623144315429]
['benda', 0.8736055136829092]
['beramal', 0.8736055136829092]
['berambut', 0.8545345333145079]
['berangkat', 0.8375623144315429]
['berasal', 0.8375623144315429]
['berat', 0.8736055136829092]
['berbaiatlah', 0.893807175776878]
['berbicara', 0.8736055136829092]
['berbicaralah', 0.8736055136829092]
['berbuat', 0.8287468059930417]
['bercerita', 0.8842398331231328]
['berdasarkan', 0.8736055136829092]
['berdebat', 0.8736055136829092]
['berdesakan', 0.8619370126214012]
['berdiam', 0.8545345333145079]
['berdiri', 0.6812428268853891]
['berdirilah', 0.7948491061532027]
['berdoa', 0.8080314940719444]
['berdoalah', 0.8736055136829092]
['berdosa', 0.8545345333145079]
['berdusta', 0.8817891079246825]
['berfirman', 0.8594862874229509]
['bergabung', 0.8736055136829092]
['bergabunglah', 0.8736055136829092]
['bergembira', 0.8736055136829092]
['berhadapan', 0.8501182275717841]
['berhaji', 0.8736055136829092]
['berhak', 0.8392869026888534]
['berharap', 0.8736055136829092]
['berhati-hati', 0.8736055136829092]
['berihram', 0.8842398331231328]
['berikanlah', 0.8736055136829092]
['berilah', 0.8715043552751464]
['beriman', 0.7922989410217822]
['berisi', 0.8545345333145079]
['beristighfar', 0.8736055136829092]
['beristinja', 0.8524333749067452]
['berita', 0.8736055136829092]
['beritahukan', 0.8619370126214012]
['beritahukanlah', 0.8842398331231328]
['berjalan', 0.8343351485804105]
['berjalanlah', 0.8842398331231328]
['berjaya', 0.8842398331231328]
['berjumpa', 0.8736055136829092]
